Feature,Importance,Mean_SHAP
PPP2R5D,0.0005085950842896431,-0.00023818916785528084
MAMDC4,0.0005080878625238428,-0.00011823997094865483
MYBL2,0.0005080004453400388,2.8672376742661904e-05
MAGEH1,0.0005072027416529175,-5.1011239902698716e-05
TNFAIP8L2-SCNM1,0.0005070579603495493,-0.0001185162170444572
FAS,0.000506664585035232,-0.00021108362871367543
ENGASE,0.0005064948523893591,-6.702117151248758e-05
NCOA6,0.0005057877896973427,4.8965527524670596e-05
PCBP4,0.0005050182685271479,0.0001305392723600358
LRRC28,0.0005047128209717116,-0.00011937748817313338
ZFYVE19,0.0005045040160989921,-5.521222692702126e-05
PTPRA,0.0005044832899917455,0.00010252062345638087
RNF19B,0.0005042694245322712,0.00035990704996028257
KPNA1,0.0005029142027980131,-8.59535109833679e-05
TRIM4,0.0005017474385187619,-7.784681046085553e-06
MGAT1,0.0005013612325412502,0.00021925030159854796
PPP1R12C,0.000501122902547146,-5.189914528611295e-05
LPAR1,0.000500691257674133,4.469375402236551e-05
TNFRSF14,0.0004998798616070951,-0.00018333646831502633
PDGFRB,0.0004996939910438952,6.52714641245197e-05
BANP,0.0004992730068713123,0.0001359575809906131
PAFAH2,0.0004983135731099263,0.000120189929614391
INTS15,0.0004979238316781579,-7.199193964109983e-05
CENPW,0.0004978889143499782,0.0002595502858931202
HAUS2,0.0004957247823939671,4.88283304616354e-05
DTX2,0.0004942152949295598,3.8406369244447583e-05
ODAD3,0.0004938355462409985,0.00010926668914779143
HCAR2,0.0004926585885598305,0.0002713563953842413
ELF1,0.0004914211132208913,2.883859199153179e-05
SLC16A10,0.0004913462337794666,5.445995689633827e-05
ZWINT,0.0004912702975636182,9.871213854236986e-05
ANGEL1,0.0004907892047419715,-0.00014622553871692533
AGAP9,0.0004907659226841415,-0.0001030900868149065
DNAJC7,0.0004893995429995263,0.00020042488196790327
PI4KA,0.0004883979709454955,-0.000266075251796132
MTMR8,0.00048703849388223694,-3.2062557743323605e-05
SNAPC2,0.00048605048512294954,3.10443284157503e-05
PDCD2L,0.0004858104587391757,9.383547446527603e-05
TMEM43,0.00048573929616658584,-0.00013964940419641385
SMC2,0.0004844497200002101,-0.00014251465638453955
SNRPN,0.00048218471240435066,-0.00010245202836993443
SMIM10,0.0004814166120820667,0.00027470461550559177
INPP5K,0.0004810808378583416,8.36669320454822e-05
DGCR2,0.0004810075876421173,0.00015168213324952544
SPTBN5,0.0004804906201689521,9.94285119250485e-05
DENND5A,0.00047994880091275106,-3.0897686200997662e-06
PPP4R3A,0.0004789888004651958,0.00016754278793146412
HGF,0.00047880524161245157,4.139494847078955e-05
ADCY10P1,0.0004780367210117191,-8.59610621868424e-06
PPIE,0.00047611203785720424,0.0001742464102508298
TMEM92,0.0004760505413928504,0.00015460446751312262
TMEM243,0.0004745938822166412,0.00025220326042664715
GPR132,0.0004736778091624573,6.91171759057849e-05
GPSM3,0.0004732682196735224,7.929890044400483e-05
VMA21,0.0004731242265435713,2.122041188929118e-05
AOC1,0.00047230354606096926,4.394422473600547e-07
SUZ12,0.0004705352603564235,0.00017570445581669355
NINL,0.00046997127859045617,-2.8035287242791095e-05
GNG8,0.00046926265353241695,-8.873419299099274e-05
IFITM2,0.00046922944344689703,2.1931023914242704e-05
CHST13,0.0004690436538542976,0.00014927239970484934
ASCL2,0.0004682722037229929,-0.0002098567435051252
HECW2,0.0004668040841753037,7.124972702533115e-05
SCARF1,0.00046659434111765856,-0.0001351472149472386
ILKAP,0.00046578006518878374,0.00010457319197609095
ARFIP2,0.00046533509681924223,-0.00027847804237549794
ICAM1,0.0004648692434059238,-0.00017844718417127841
XIST,0.0004641966921053438,-1.2804990026281106e-05
SIAH2,0.0004636954974445271,-3.4431653053422994e-05
LINC02904,0.00046262501808556065,-2.171858364875763e-05
CISD1,0.00046227378285274777,0.00017682522934759062
IQCB1,0.00046215009512573356,2.894370843100877e-05
GSTA4,0.0004619178271516933,1.9787080507178803e-05
SLAMF1,0.0004616050711946191,-2.703236694780343e-05
SSR4,0.00046136618141134856,4.7259601194595154e-05
MIDN,0.00046035470022644183,0.00010546486556236361
ZNF212,0.0004603296852234768,1.2525074619583903e-05
RPL5P4,0.00045957572621417077,-0.00016793186620100452
C17orf80,0.00045950277775458646,-4.584876291682452e-05
CNOT6,0.0004592933421072541,-0.0002837837952129624
FANCF,0.00045810503338910647,0.00024258531335747397
MED22,0.00045799361043314903,-4.013661705216915e-05
KIF1C,0.0004576569369206865,0.00025644185872685616
ERO1A,0.0004574717614347109,0.0003449407749152359
INPP5B,0.0004568177971666383,6.593040800176483e-05
TTC39A,0.0004564541333774888,0.00026906021029101285
KRT10,0.0004557024968048515,9.216402385801248e-05
OLA1,0.00045544856388429566,4.6747717246416466e-05
ZC3H7A,0.0004547249699604425,0.00014567691027570577
NCKAP1L,0.00045323409893758437,6.203624404208668e-05
APCDD1,0.0004522758376897518,-1.1049768500098465e-05
IGSF8,0.0004511433474868899,8.878046390526568e-05
H2BC14,0.00045090500018705434,9.114436178864497e-05
LOC100288637,0.0004506718875607803,0.00022265703528072552
PDSS1,0.0004502485180186329,-0.00013118073836475047
CCL2,0.000449984067313563,1.370271055833873e-05
FANCL,0.00044958932471237084,0.00012255892848633772
MRPS2,0.000449253831380666,0.0002536772799210235
SMARCAD1,0.00044902399360161467,9.847493100034877e-05
SDC2,0.00044893523917448927,-0.00014515585544048248
TMEM121,0.00044800345750051375,0.00031819551196976044
AK2,0.0004478866921484623,-0.0002514752229175204
SEC11A,0.0004471699519888729,2.2369995443070084e-05
BZW1,0.0004469279359991291,-9.968134631745951e-06
DPM2,0.00044589560780536054,0.0001051141496814555
SCAMP4,0.0004439079225240641,0.0001210255591399034
UBE2G1,0.00044362930825199865,9.260307067404022e-06
RPL7AP11,0.00044295391454830433,0.00017625070781532046
